Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote,
PIH,1347 Property Insurance Holdings, Inc.,6.8297,40874156.3502,n/a,United States,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,
PIHPP,1347 Property Insurance Holdings, Inc.,24.4806,0,n/a,United States,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,1.86,57886105.32,n/a,United States,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,
FLWS,1-800 FLOWERS.COM, Inc.,12.7,819619595.2,n/a,United States,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,
FCCY,1st Constitution Bancorp (NJ),21.8,176847965.6,n/a,United States,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,52.07,1400140326.46,n/a,United States,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,
XXII,22nd Century Group, Inc,2.38,295443887.06,n/a,United States,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/xxii,
TWOU,2U, Inc.,82.41,4344308336.31,n/a,United States,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
DDD,3D Systems Corporation,11.27,1282583105.09,n/a,United States,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd,
MMM,3M Company,218.67,130044783271.77,n/a,United States,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm,
CAFD,8point3 Energy Partners LP,12.01,949910593.05,n/a,United States,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cafd,
EGHT,8x8 Inc,18.8,1732655808.4,n/a,United States,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght,
AVHI,A V Homes, Inc.,19.4,433555526.2,n/a,United States,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/avhi,
SHLM,A. Schulman, Inc.,43.15,1274021096.3,n/a,United States,1972,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shlm,
AHC,A.H. Belo Corporation,5.25,114289654.5,n/a,United States,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc,
AAC,AAC Holdings, Inc.,11.68,285689529.6,n/a,United States,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac,
AAON,AAON, Inc.,35.35,1853513902.8,n/a,United States,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,
AIR,AAR Corp.,44.07,1526529183.66,n/a,United States,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air,
AAN,Aaron&#39;s,  Inc.,47.7,3461984957.7,n/a,United States,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan,
ABAX,ABAXIS, Inc.,70.91,1609515180,n/a,United States,1992,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/abax,
ABT,Abbott Laboratories,59.86,104535546775.12,n/a,United States,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,92.21,146308430031.56,n/a,United States,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv,
ABEO,Abeona Therapeutics Inc.,14.35,677706589,n/a,United States,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,9.2647,0,n/a,United States,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,
ANF,Abercrombie & Fitch Company,26.67,1818760650,n/a,United States,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf,
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.67,1177450948.08,n/a,United States,1986,n/a,n/a,https://www.nasdaq.com/symbol/fax,
IAF,Aberdeen Australia Equity Fund Inc,6.04,137363649.04,n/a,United States,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iaf,
CH,Aberdeen Chile Fund, Inc.,9.1346,85478755.074,n/a,United States,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ch,
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,14.9,141323713.7,n/a,United States,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abe,
FCO,Aberdeen Global Income Fund, Inc.,8.52,74335202.28,n/a,United States,1992,n/a,n/a,https://www.nasdaq.com/symbol/fco,
GCH,Aberdeen Greater China Fund, Inc.,13.39,118056871.66,n/a,United States,1992,n/a,n/a,https://www.nasdaq.com/symbol/gch,
ACP,Aberdeen Income Credit Strategies Fund,13.73,179507008.56,n/a,United States,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp,
IF,Aberdeen Indonesia Fund, Inc.,7.42,68688461.1,n/a,United States,1990,n/a,n/a,https://www.nasdaq.com/symbol/if,
ISL,Aberdeen Israel Fund, Inc.,19.05,75161165.4,n/a,United States,1992,n/a,n/a,https://www.nasdaq.com/symbol/isl,
JEQ,Aberdeen Japan Equity Fund, Inc. ,9.23,123476097.16,n/a,United States,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq,
SGF,Aberdeen Singapore Fund, Inc.,13.17,97707545.16,n/a,United States,1990,n/a,n/a,https://www.nasdaq.com/symbol/sgf,
ABMD,ABIOMED, Inc.,292.13,12934881017.25,n/a,United States,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,
ABM,ABM Industries Incorporated,33.54,2203578067.08,n/a,United States,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm,
AXAS,Abraxas Petroleum Corporation,2.36,391501233.08,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,
ACIA,Acacia Communications, Inc.,36.02,1435882945.82,n/a,United States,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,
